"Index","monthly.returns"
1996-12-31,-0.0241984416547827
1997-01-31,0.061785906590107
1997-02-28,0.00956556298187916
1997-03-31,-0.0441220876876165
1997-04-30,0.0626029491946338
1997-05-30,0.0632072172312468
1997-06-30,0.0411030510338319
1997-07-31,0.0792639663085901
1997-08-29,-0.0518032704065392
1997-09-30,0.0480905253796289
1997-10-31,-0.024503321439335
1997-11-28,0.0386965413035589
1997-12-31,0.0190718558309491
1998-01-30,0.0128782932872704
1998-02-27,0.0692943475265151
1998-03-31,0.0487835210264751
1998-04-30,0.0127908845725326
1998-05-29,-0.0207690248133661
1998-06-30,0.0425738624585117
1998-07-31,-0.0135139820548816
1998-08-31,-0.141179344147268
1998-09-30,0.0636394157428921
1998-10-30,0.0810810814512826
1998-11-30,0.0556818072826082
1998-12-31,0.0654222683776655
1999-01-29,0.0352251126331431
1999-02-26,-0.0320681436272762
1999-03-31,0.0414679119675252
1999-04-30,0.037974683134387
1999-05-28,-0.0228660848108493
1999-06-30,0.0553787489103914
1999-07-30,-0.0310218947186349
1999-08-31,-0.00517891545326299
1999-09-30,-0.0223369996065749
1999-10-29,0.0640776755544408
1999-11-30,0.0166511212303491
1999-12-31,0.0571097053195599
2000-01-31,-0.0497872361568481
2000-02-29,-0.0152261515652117
2000-03-31,0.0969145443478472
2000-04-28,-0.0351208398211044
2000-05-31,-0.0157222780530774
2000-06-30,0.0196813567841236
2000-07-31,-0.0157019883169313
2000-08-31,0.0653405887061445
2000-09-29,-0.0548619428941103
2000-10-31,-0.00467818913849571
2000-11-30,-0.0746530926599298
2000-12-29,-0.00522613929318883
2001-01-31,0.0444592931372121
2001-02-28,-0.0953875860579432
2001-03-30,-0.0560371459007274
2001-04-30,0.0854400616257132
2001-05-31,-0.00560560984191316
2001-06-29,-0.0238293547581712
2001-07-31,-0.0101957571382042
2001-08-31,-0.0593324892940938
2001-09-28,-0.0816304726813115
2001-10-31,0.0130218294561673
2001-11-30,0.0779773162015842
2001-12-31,0.00563920776259308
2002-01-31,-0.00979879754595558
2002-02-28,-0.0179360287443262
2002-03-28,0.0332708200848928
2002-04-30,-0.0581557534914672
2002-05-31,-0.00593361720824093
2002-06-28,-0.0738075576324848
2002-07-31,-0.0788196825325084
2002-08-30,0.00680116764499794
2002-09-30,-0.104852311875386
2002-10-31,0.0822838407586346
2002-11-29,0.0616810636724323
2002-12-31,-0.0565697393532469
2003-01-31,-0.0245948681136957
2003-02-28,-0.013478926686474
2003-03-31,0.00213980084058063
2003-04-30,0.0846118255290966
2003-05-30,0.0548361871133993
2003-06-30,0.0106515745742422
2003-07-31,0.0180272620630828
2003-08-29,0.0206258574484941
2003-09-30,-0.010906190723921
2003-10-31,0.0535268287815298
2003-11-28,0.0109211159068787
2003-12-31,0.0503129425210076
2004-01-30,0.0197699866614298
2004-02-27,0.0135706202021819
2004-03-31,-0.0132455922339881
2004-04-30,-0.0189213112170517
2004-05-28,0.0171233089931633
2004-06-30,0.0185014018613077
2004-07-30,-0.032218649087682
2004-08-31,0.00243598079108276
2004-09-30,0.010036967786742
2004-10-29,0.0128847007360442
2004-11-30,0.0445174728161599
2004-12-31,0.0301210022436715
2005-01-31,-0.0224207721527361
2005-02-28,0.0209037972617154
2005-03-31,-0.0182927944656784
2005-04-29,-0.0187351635370482
2005-05-31,0.0322246510699542
2005-06-30,0.00151495545305758
2005-07-29,0.0382614307543832
2005-08-31,-0.00937446249049556
2005-09-30,0.00802541714345395
2005-10-31,-0.023650869499736
2005-11-30,0.0439524439418462
2005-12-30,-0.0019135540901436
2006-01-31,0.0240141261117701
2006-02-28,0.0057254565485525
2006-03-31,0.0165039313738593
2006-04-28,0.0126318978111839
2006-05-31,-0.0301209303248322
2006-06-30,0.00260824238214252
2006-07-31,0.00447830760547507
2006-08-31,0.0218224578883455
2006-09-29,0.0270015613612378
2006-10-31,0.0315166367418167
2006-11-30,0.0198853747991161
2006-12-29,0.0133712034737781
2007-01-31,0.0150402869922768
2007-02-28,-0.0196174387691491
2007-03-30,0.011588938597519
2007-04-30,0.0442957228472758
2007-05-31,0.0339201215559699
2007-06-29,-0.0146208108169618
2007-07-31,-0.031310193476811
2007-08-31,0.0128328016404937
2007-09-28,0.0387143340851801
2007-10-31,0.0135666079180163
2007-11-30,-0.0387325656671622
2007-12-31,-0.0112607195614534
2008-01-31,-0.0604610505822717
2008-02-29,-0.025842527733306
2008-03-31,-0.00894229888774201
2008-04-30,0.0476622931736119
2008-05-30,0.015116529462305
2008-06-30,-0.0835758112005338
2008-07-31,-0.00898579170279612
2008-08-29,0.0154536883833756
2008-09-30,-0.0941736076194553
2008-10-31,-0.16518662641059
2008-11-28,-0.069606576361414
2008-12-31,0.00979636460554079
2009-01-30,-0.0821143216351925
2009-02-27,-0.107449004443827
2009-03-31,0.0833107073658343
2009-04-30,0.0993461075318696
2009-05-29,0.0584534434670674
2009-06-30,-0.000654942082637278
2009-07-31,0.0746057801726561
2009-08-31,0.0369395927810283
2009-09-30,0.0354571729647279
2009-10-30,-0.0192252960171047
2009-11-30,0.0616068488651171
2009-12-31,0.0191009405788098
2010-01-29,-0.0363424505107631
2010-02-26,0.0311946938574512
2010-03-31,0.0608796324227532
2010-04-30,0.0154700672524033
2010-05-28,-0.0794545539978706
2010-06-30,-0.0517409474534973
2010-07-30,0.0683006715444785
2010-08-31,-0.044980497458412
2010-09-30,0.0895546941138556
2010-10-29,0.0382020524691249
2010-11-30,0
2010-12-31,0.0668522735218768
2011-01-31,0.0233001398956043
2011-02-28,0.0347373439804584
2011-03-31,0.000120129829288773
2011-04-29,0.0289614341863724
2011-05-31,-0.0112145328116434
2011-06-30,-0.0168697126785674
2011-07-29,-0.0200045384648918
2011-08-31,-0.0549756517442795
2011-09-30,-0.0694207919482754
2011-10-31,0.109147129043446
2011-11-30,-0.00406375493853861
2011-12-30,0.0104483956940182
2012-01-31,0.0463745645433125
2012-02-29,0.0434053933278911
2012-03-30,0.0321637734399161
2012-04-30,-0.00667567999434704
2012-05-31,-0.0600557279320282
2012-06-29,0.0405810633048065
2012-07-31,0.0118295442396477
2012-08-31,0.0250526196586291
2012-09-28,0.0253509147254589
2012-10-31,-0.0181982018173524
2012-11-30,0.0056596199272585
2012-12-31,0.0089344987474278
2013-01-31,0.0511901756695232
2013-02-28,0.012758874885076
2013-03-28,0.0379711698633876
2013-04-30,0.0192123220757006
2013-05-31,0.0236097457958691
2013-06-28,-0.0133444970983755
2013-07-31,0.0516769056316049
2013-08-30,-0.0299923724858604
2013-09-30,0.0316464332558093
2013-10-31,0.0463067596850149
2013-11-29,0.0296376767990034
2013-12-31,0.0259264474587326
2014-01-31,-0.0352483032905875
2014-02-28,0.0455157759513205
2014-03-31,0.00829558645853989
2014-04-30,0.00695151225684598
2014-05-30,0.0232063902768562
2014-06-30,0.0206448625453683
2014-07-31,-0.0134375912128957
2014-08-29,0.0394635188396071
2014-09-30,-0.0137962558368477
2014-10-31,0.0235509067888058
2014-11-28,0.0274719479951682
2014-12-31,-0.00253660900335051
2015-01-30,-0.0296292537562232
2015-02-27,0.0562045953779928
2015-03-31,-0.0157057203826346
2015-04-30,0.00983391156689173
2015-05-29,0.0128561487098457
2015-06-30,-0.0203120608894434
2015-07-31,0.0225892354310147
2015-08-31,-0.0609501271396202
2015-09-30,-0.0255159151523303
2015-10-30,0.085059687802028
2015-11-30,0.00365512100178655
2015-12-31,-0.0172825224644657
2016-01-29,-0.0497866007383694
2016-02-29,-0.000825953465832363
2016-03-31,0.0672660718685474
2016-04-29,0.00394120955608979
2016-05-31,0.0170115566533191
2016-06-30,0.00347585096170655
2016-07-29,0.0364712558180424
2016-08-31,0.00119754378456016
2016-09-30,5.80131789349458e-05
2016-10-31,-0.0173370331385408
2016-11-30,0.0368383965977448
